type,cpu,ram,price
r5.2xlarge,8,64 GiB,$0.608 per Hour
r5.4xlarge,16,128 GiB,$1.216 per Hour
r5.8xlarge,32,256 GiB,$2.432 per Hour
r5.12xlarge,48,384 GiB,$3.648 per Hour
r5.16xlarge,64,512 GiB,$4.864 per Hour
r5.24xlarge,96,768 GiB,$7.296 per Hour
r5.metal,96,768 GiB,$7.296 per Hour
r5a.large,2,16 GiB,$0.137 per Hour
r5a.xlarge,4,32 GiB,$0.274 per Hour
r5a.2xlarge,8,64 GiB,$0.548 per Hour
r5a.4xlarge,16,128 GiB,$1.096 per Hour
r5a.8xlarge,32,256 GiB,$2.192 per Hour
r5a.12xlarge,48,384 GiB,$3.288 per Hour
r5a.16xlarge,64,512 GiB,$4.384 per Hour
r5a.24xlarge,96,768 GiB,$6.576 per Hour
r5ad.large,2,16 GiB,$0.158 per Hour
r5ad.xlarge,4,32 GiB,$0.316 per Hour
r5ad.2xlarge,8,64 GiB,$0.632 per Hour
r5ad.4xlarge,16,128 GiB,$1.264 per Hour
r5ad.8xlarge,32,256 GiB,$2.528 per Hour
r5ad.12xlarge,48,384 GiB,$3.792 per Hour
r5ad.16xlarge,64,512 GiB,$5.056 per Hour
r5ad.24xlarge,96,768 GiB,$7.584 per Hour
r5b.large,2,16 GiB,$0.178 per Hour
r5b.xlarge,4,32 GiB,$0.356 per Hour
r5b.2xlarge,8,64 GiB,$0.712 per Hour
r5b.4xlarge,16,128 GiB,$1.424 per Hour
r5b.8xlarge,32,256 GiB,$2.848 per Hour
r5b.12xlarge,48,384 GiB,$4.272 per Hour
r5b.16xlarge,64,512 GiB,$5.696 per Hour
r5b.24xlarge,96,768 GiB,$8.544 per Hour
r5b.metal,96,768 GiB,$8.544 per Hour
r5d.large,2,16 GiB,$0.173 per Hour
r5d.xlarge,4,32 GiB,$0.346 per Hour
r5d.2xlarge,8,64 GiB,$0.692 per Hour
r5d.4xlarge,16,128 GiB,$1.384 per Hour
r5d.8xlarge,32,256 GiB,$2.768 per Hour
r5d.12xlarge,48,384 GiB,$4.152 per Hour
r5d.16xlarge,64,512 GiB,$5.536 per Hour
r5d.24xlarge,96,768 GiB,$8.304 per Hour
r5d.metal,96,768 GiB,$8.304 per Hour
r5dn.large,2,16 GiB,$0.199 per Hour
r5dn.xlarge,4,32 GiB,$0.398 per Hour
r5dn.2xlarge,8,64 GiB,$0.796 per Hour
r5dn.4xlarge,16,128 GiB,$1.592 per Hour
r5dn.8xlarge,32,256 GiB,$3.184 per Hour
r5dn.12xlarge,48,384 GiB,$4.776 per Hour
r5dn.16xlarge,64,512 GiB,$6.368 per Hour
r5dn.24xlarge,96,768 GiB,$9.552 per Hour
r5dn.metal,96,768 GiB,$9.552 per Hour
r5n.large,2,16 GiB,$0.178 per Hour
r5n.xlarge,4,32 GiB,$0.356 per Hour
r5n.2xlarge,8,64 GiB,$0.712 per Hour
r5n.4xlarge,16,128 GiB,$1.424 per Hour
r5n.8xlarge,32,256 GiB,$2.848 per Hour
r5n.12xlarge,48,384 GiB,$4.272 per Hour
r5n.16xlarge,64,512 GiB,$5.696 per Hour
r5n.24xlarge,96,768 GiB,$8.544 per Hour
r5n.metal,96,768 GiB,$8.544 per Hour
r4.large,2,15.25 GiB,$0.16005 per Hour
r4.xlarge,4,30.5 GiB,$0.3201 per Hour
r4.2xlarge,8,61 GiB,$0.6402 per Hour
r4.4xlarge,16,122 GiB,$1.2804 per Hour
r4.8xlarge,32,244 GiB,$2.5608 per Hour
r4.16xlarge,64,488 GiB,$5.1216 per Hour
z1d.large,2,16 GiB,$0.225 per Hour
z1d.xlarge,4,32 GiB,$0.45 per Hour
z1d.2xlarge,8,64 GiB,$0.90 per Hour
z1d.3xlarge,12,96 GiB,$1.35 per Hour
z1d.6xlarge,24,192 GiB,$2.70 per Hour
z1d.12xlarge,48,384 GiB,$5.40 per Hour
z1d.metal,48,384 GiB,$5.40 per Hour
i3.large,2,15.25 GiB,$0.186 per Hour
i3.xlarge,4,30.5 GiB,$0.372 per Hour
i3.2xlarge,8,61 GiB,$0.744 per Hour
i3.4xlarge,16,122 GiB,$1.488 per Hour
i3.8xlarge,32,244 GiB,$2.976 per Hour
i3.16xlarge,64,488 GiB,$5.952 per Hour
i3.metal,64,512 GiB,$5.952 per Hour
i3en.large,2,16 GiB,$0.27 per Hour
i3en.xlarge,4,32 GiB,$0.54 per Hour
i3en.2xlarge,8,64 GiB,$1.08 per Hour
i3en.3xlarge,12,96 GiB,$1.62 per Hour
i3en.6xlarge,24,192 GiB,$3.24 per Hour
i3en.12xlarge,48,384 GiB,$6.48 per Hour
i3en.24xlarge,96,768 GiB,$12.96 per Hour
i3en.metal,96,768 GiB,$12.96 per Hour
d3.xlarge,4,32 GiB,$0.658 per Hour
d3.2xlarge,8,64 GiB,$1.316 per Hour
d3.4xlarge,16,128 GiB,$2.632 per Hour
d3.8xlarge,32,256 GiB,$5.26448 per Hour
d2.xlarge,4,30.5 GiB,$0.794 per Hour
d2.2xlarge,8,61 GiB,$1.588 per Hour
d2.4xlarge,16,122 GiB,$3.176 per Hour
d2.8xlarge,36,244 GiB,$6.352 per Hour
inf1.xlarge,4,8 GiB,$0.46 per Hour
inf1.2xlarge,8,16 GiB,$0.73 per Hour
inf1.6xlarge,24,48 GiB,$2.38 per Hour
inf1.24xlarge,96,192 GiB,$9.519 per Hour
