type,cpu,ram,price
c4.large,2,3.75 GiB,$0.113 per Hour
c4.xlarge,4,7.5 GiB,$0.226 per Hour
c4.2xlarge,8,15 GiB,$0.453 per Hour
c4.4xlarge,16,30 GiB,$0.905 per Hour
c4.8xlarge,36,60 GiB,$1.811 per Hour
p4d.24xlarge,96,"1,152 GiB",$35.39655 per Hour
p3.2xlarge,8,61 GiB,$3.305 per Hour
p3.8xlarge,32,244 GiB,$13.22 per Hour
p3.16xlarge,64,488 GiB,$26.44 per Hour
p3dn.24xlarge,96,768 GiB,$33.711 per Hour
p2.xlarge,4,61 GiB,$0.972 per Hour
p2.8xlarge,32,488 GiB,$7.776 per Hour
p2.16xlarge,64,732 GiB,$15.552 per Hour
g4ad.4xlarge,16,64 GiB,$0.968 per Hour
g4ad.8xlarge,32,128 GiB,$1.936 per Hour
g4ad.16xlarge,64,256 GiB,$3.872 per Hour
g4dn.xlarge,4,16 GiB,$0.587 per Hour
g4dn.2xlarge,8,32 GiB,$0.838 per Hour
g4dn.4xlarge,16,64 GiB,$1.342 per Hour
g4dn.8xlarge,32,128 GiB,$2.426 per Hour
g4dn.12xlarge,48,192 GiB,$4.362 per Hour
g4dn.16xlarge,64,256 GiB,$4.853 per Hour
g4dn.metal,96,384 GiB,$8.724 per Hour
g3.4xlarge,16,122 GiB,$1.21 per Hour
g3.8xlarge,32,244 GiB,$2.42 per Hour
g3.16xlarge,64,488 GiB,$4.84 per Hour
g3s.xlarge,4,30.5 GiB,$0.796 per Hour
x2gd.medium,1,16 GiB,$0.10 per Hour
x2gd.large,2,32 GiB,$0.20 per Hour
x2gd.xlarge,4,64 GiB,$0.40 per Hour
x2gd.2xlarge,8,128 GiB,$0.80 per Hour
x2gd.4xlarge,16,256 GiB,$1.60 per Hour
x2gd.8xlarge,32,512 GiB,$3.20 per Hour
x2gd.12xlarge,48,768 GiB,$4.80 per Hour
x2gd.16xlarge,64,"1,024 GiB",$6.40 per Hour
x2gd.metal,64,"1,024 GiB",$6.40 per Hour
x1.16xlarge,64,976 GiB,$8.003 per Hour
