type,cpu,ram,price
r5ad.8xlarge,32,256 GiB,$2.368 per Hour
r5ad.12xlarge,48,384 GiB,$3.552 per Hour
r5ad.16xlarge,64,512 GiB,$4.736 per Hour
r5ad.24xlarge,96,768 GiB,$7.104 per Hour
r5d.large,2,16 GiB,$0.162 per Hour
r5d.xlarge,4,32 GiB,$0.324 per Hour
r5d.2xlarge,8,64 GiB,$0.648 per Hour
r5d.4xlarge,16,128 GiB,$1.296 per Hour
r5d.8xlarge,32,256 GiB,$2.592 per Hour
r5d.12xlarge,48,384 GiB,$3.888 per Hour
r5d.16xlarge,64,512 GiB,$5.184 per Hour
r5d.24xlarge,96,768 GiB,$7.776 per Hour
r5d.metal,96,768 GiB,$7.776 per Hour
r4.large,2,15.25 GiB,$0.1482 per Hour
r4.xlarge,4,30.5 GiB,$0.2964 per Hour
r4.2xlarge,8,61 GiB,$0.5928 per Hour
r4.4xlarge,16,122 GiB,$1.1856 per Hour
r4.8xlarge,32,244 GiB,$2.3712 per Hour
r4.16xlarge,64,488 GiB,$4.7424 per Hour
z1d.large,2,16 GiB,$0.211 per Hour
z1d.xlarge,4,32 GiB,$0.422 per Hour
z1d.2xlarge,8,64 GiB,$0.844 per Hour
z1d.3xlarge,12,96 GiB,$1.266 per Hour
z1d.6xlarge,24,192 GiB,$2.532 per Hour
z1d.12xlarge,48,384 GiB,$5.064 per Hour
z1d.metal,48,384 GiB,$5.064 per Hour
i3.large,2,15.25 GiB,$0.172 per Hour
i3.xlarge,4,30.5 GiB,$0.344 per Hour
i3.2xlarge,8,61 GiB,$0.688 per Hour
i3.4xlarge,16,122 GiB,$1.376 per Hour
i3.8xlarge,32,244 GiB,$2.752 per Hour
i3.16xlarge,64,488 GiB,$5.504 per Hour
i3.metal,64,512 GiB,$5.504 per Hour
i3en.large,2,16 GiB,$0.25 per Hour
i3en.xlarge,4,32 GiB,$0.50 per Hour
i3en.2xlarge,8,64 GiB,$1.00 per Hour
i3en.3xlarge,12,96 GiB,$1.50 per Hour
i3en.6xlarge,24,192 GiB,$3.00 per Hour
i3en.12xlarge,48,384 GiB,$6.00 per Hour
i3en.24xlarge,96,768 GiB,$12.00 per Hour
i3en.metal,96,768 GiB,$12.00 per Hour
d2.xlarge,4,30.5 GiB,$0.781 per Hour
d2.2xlarge,8,61 GiB,$1.563 per Hour
d2.4xlarge,16,122 GiB,$3.125 per Hour
d2.8xlarge,36,244 GiB,$6.25 per Hour
inf1.xlarge,4,8 GiB,$0.442 per Hour
inf1.2xlarge,8,16 GiB,$0.701 per Hour
inf1.6xlarge,24,48 GiB,$2.287 per Hour
inf1.24xlarge,96,192 GiB,$9.146 per Hour
