type,cpu,ram,price
i3.large,2,15.25 GiB,$0.177 per Hour
i3.xlarge,4,30.5 GiB,$0.354 per Hour
i3.2xlarge,8,61 GiB,$0.708 per Hour
i3.4xlarge,16,122 GiB,$1.416 per Hour
i3.8xlarge,32,244 GiB,$2.832 per Hour
i3.16xlarge,64,488 GiB,$5.664 per Hour
i3.metal,64,512 GiB,$5.664 per Hour
i3en.large,2,16 GiB,$0.257 per Hour
i3en.xlarge,4,32 GiB,$0.514 per Hour
i3en.2xlarge,8,64 GiB,$1.028 per Hour
i3en.3xlarge,12,96 GiB,$1.542 per Hour
i3en.6xlarge,24,192 GiB,$3.084 per Hour
i3en.12xlarge,48,384 GiB,$6.168 per Hour
i3en.24xlarge,96,768 GiB,$12.336 per Hour
i3en.metal,96,768 GiB,$12.336 per Hour
d2.xlarge,4,30.5 GiB,$0.827 per Hour
d2.2xlarge,8,61 GiB,$1.653 per Hour
d2.4xlarge,16,122 GiB,$3.306 per Hour
d2.8xlarge,36,244 GiB,$6.612 per Hour
inf1.xlarge,4,8 GiB,$0.387 per Hour
inf1.2xlarge,8,16 GiB,$0.614 per Hour
inf1.6xlarge,24,48 GiB,$2.002 per Hour
inf1.24xlarge,96,192 GiB,$8.008 per Hour
